Review,Assigned_Topic,Manual_Topic
"we stayed at the hilton yala resort for  days in may and had the most amazing time the reviews and photos that you see on trip advisor paints a true picture of the resort and experience and it did not disappoint
this was our first visit to sri lanka and we wanted to stay somewhere close to the national park so that we could do the odd safari or two whilst also relaxing by the pool of the main resort the location was ideal with it being right in the national park
and only a short drive away to the main entrance of block  
upon arrival we were warmly greeted with a cold towel and welcome drink and then shown into the main entrance to the hotel through a huge doorway that led into the reception lounge and bar area from here there are floor to ceiling windows with a view over the resort pool area and indian ocean giving a true wow factor

having preselected our room through the hilton app  hours prior to arrival to be close to the elephant trail we were then taken by buggy to our room as hh diamond members we were upgraded to a premium room with plunge pool
unfortunately our preselection hadnt been noted and we were allocated a room next to the main pool we raised this with the hotel team and were initially told that the rooms are allocated  hours in advance and therefore they hadnt received our request this was swiftly resolved and we were then taken to the preselected room
the room was very luxurious with plenty of space soft furnishings and mood lighting the bed was very comfortable with a pillow menu at your disposal the bathroom had twin sinks rainfall shower bathtub and a toto toilet the terrace had a table and chairs two sun loungers a sofa and the plunge pool it overlooked the elephant trail that runs through the hotel grounds and whilst there was evidence of wild animals having walked past we didnt see any during our stay
the room was cleaned daily with a turn down service in the evening

we spent most of our time by the main pool and as most guests are here for the national park and safaris it was mostly quiet and felt like our own private pool at times there were plenty of sun loungers and the pool staff were always very friendly and greeted you with a warm welcome and smile

the food offered in the hotel is up there with some of the best food we have had and we have stayed in many  star hotels around the world as hh diamond members we were upgraded from continental to full breakfast along with  off food and spa treatments for breakfast you can order a variety of dishes alacarte and there is also a small buffet area with pastries and cereal each dish was beautifully presented and was delicious our personal favourites were the hummus on rye toast and french toast all meals are served in the dhira restaurant which is next to the reception and bar area there is another restaurant on the ground floor near the main pool however this was not used during our stay as most guests are seated in the dhira restaurant 
for evening meals you have the option to choose from a variety of menus offering local and international dishes all meals were delicious and again well presented we were also encouraged to order dishes off menu as the head chef encouraged you to eat whatever you fancied
we would have the occasional lunch sat by the pool area and the food was equally well presented

the spa and gym are well appointed and we used both during our stay the spa treatments were great and the staff very welcoming

we went on two morning safaris and were able to see all that the national park has to offer we decided to book the safari directly with the hotel and whilst more expensive than other options available through viator or other similar sites it is worth paying the extra money we had our own private vehicle and ranger and were given breakfast boxes whilst in the park having your own personal ranger allowed you to learn more about the park and resident animals 

what really stood out for us during our stay was the staff every single member of the hilton yala team were welcoming and friendly walking to the pool or restaurant in the morning the room cleaners gardeners pool staff buggy drivers would all stop smile and say good morning as we walked past it is therefore very difficult to name individual staff members having said that chanaka from the fb team really set the tone for our stay he was always kind and happy to serve our breakfast or dinner and would also encourage us to order as much as we wanted 

thank you hilton yala team for making our stay truly memorable and we will no doubt return in the near future",300,Location
"uga chena huts offer a nearperfect robinson crusoe boutique hotel experience  a mile away the wild coast hotel offers a lessgood experience and costs more

the uga chena rooms are highceilinged and airy many with views of the adjacent lagoon the contemporary dining room and reception areas are beautifully designed  simple pareddown and elegant  and the staff are smiling and attentive

at sunset they light a brazier on the beach and offer complimentary cocktails to watch the sun go own with the roar of the ocean immediately adjacent  memories really are made of this  the setting is utterly unspoilt and magical and surpassed our expectations

would we go back  absolutely  a two or three night stay is probably best",2,Service
"the staff and the service of the hotel is very good  
the room we got was unfortunately a city view buth clean and spacious enough
the property has located in front of the beach and they have sea view rooms restauranta swimming pool as well
my experience at mirage was remarkable",290,Room
the food here was great and the service provided by jayaweera was amazing great atmosphere with live music as well,29,Food
"an excellent stay  staff deserve the utmost respect

we had an excellent stay at radh hotel from the moment we arrived the staff were incredibly welcoming professional and attentive to every detail the hotel itself is beautifully maintained offering a perfect blend of comfort and elegance our room was spotless wellappointed and provided a truly relaxing experience

however during our stay we were deeply ashamed to witness the way some tourists mistreated the hardworking staff we saw an incident where a guest after breaking several plates refused to take responsibility and instead threatened to leave a negative review on tripadvisor to avoid paying the staff despite being in an unfair and helpless situation handled it with patience and professionalism

as guests who appreciate good service and ethical behavior we want to extend our apologies to the staff on behalf of responsible travelers no one should have to endure such intimidation simply for doing their job hospitality workers deserve respect and it is disheartening to see some guests exploit platforms like tripadvisor to manipulate situations in their favor

we highly recommend radh hotel and commend the staff for their dedication thank you for making our stay memorablewe will certainly return",7,Service
we had breakfast buffet at gfh and it was wonderful nethali was a wonderful server with all smiles and she did a great job highly recommend gfh buffet,21,Food
charuna and radini are phenomenal they do so much for the customers and always have a solution they are friendly and professional which makes staying here feel like home jet wing blue has an amazing breakfast and the gym and pools are outstanding absolutely recommend staying here,117,Location
what an absolutely fantastic location overlooking the valley and the beehives are just amazing  we stayed in a king beehive and it was so quirky the bathroom was great and the balcony and views were stunning  infinity pool and restaurant were very good  staff very helpful and polite,75,Location
" experience the hotel was so lovely everything was clean the beds were very comfy the bathroom was lovely and the pool area was stunning as well as being  seconds from the beach 
the breakfast buffet was great and we had dinner in the hotel one night which was also delicious 
there is a decent gym onsite and a pool table and table tennis as well
finally the thing that tops it off were the staff they were all so friendly and helpful chatting to us every breakfast and making sure we had the best stay possible
would definitely recommend to anyone visiting sri lanka",371,Room
"i service was excellent and the conditions were good 
we were served by pushpita who was managing the floor 
pushpita did an excellent job",9,Service
we really enjoyed our stay the pools are wonderful we had  lovely villas and shared a pool the staff were very helpful we have  kids in their s and they really enjoyed the beaches and the waves it suited them perfectly the only reason why we wouldnt return is because  of us are vegetarian and the options are very limited literally one or  options for the evening meal which was surprising and a bit disappointing considering everywhere else we visited offered many options so we decided to eat out which didnt matter at all but it would have been nice to have had more options when we did eat in for the  nights,55,Food
stay for one day nuwan and mahel are very good we had a very good treatment there everything was perfect hope to come again  ,233,Service
"thank you for the delicious food and friendly service but has to improve the qulity 
rushani from the front staff quickly provided me with all the details 

we really appreciate the great atmosphere and will definitely come again",181,Food
"the experience was excellent
the housekeeper staff was superb specially ishan and ravindran 
had a good time and the food was delicious",134,Food
the spice house is actually a house run by its owner mrs vatsala and her husband its located on the main street of mirissa that runs parallel to the beach its placed behind a few properties that face the main road and cannot be viewed directly as one walks by but once you enter the space you are transported into a beautiful tropical paradise it has a beautiful pool in its backyard there are a few rooms in the main house and a few in the garden clean and well maintained our host took care of our food preferences well enjoyed our stay in the spice house,76,Location
everything from check in to checkout was seamless  and the team at reception  were  so welcoming  and friendly the housekeeping staff also highly cheerful the loveliest  smiles and soft tones in the day time and evening  they came to our room for making our room in professional  we cant froget great hospitality from ravindra and housekeeping teamthanks for looking after us during our stay and we are already planned on coming back next year,303,Service
the best relaxing detoxing meditating place ever with the best most professional and the sweetest physicians ever thank you sunetha ,384,Service
the aarunya hotel really is absolutely wonderful and unique my wife and i spent  nights there in one of the villas with a private pool we wanted for nothing the view from our room the infinity pool by the restaurant the staff the food it was all top class the food was so delicious and exclusive all the staff were very friendly and fulfilled our every wish a special highlight was breakfast in our pool with a wonderful sunrise and stunning views thank you to the aarunya team we will definitely be back,218,Location
visited hilton colombo residence nice facilities with a good swimming pool gym steam sauna  jacuzzi excellent service by the staff special thanks to jason works  the sports center for the good hospitality will surely recommend hilton colombo residence to all,62,Location
"after a night at a run down hotel the night before we were delighted when we arrived at this lovely hotel the rooms are spacious clean  with the most stunning views 

to wake up each morning and open the curtains to that view made our time in sri lanka very special 

the roof top pool also shares the stunning views and  they had a live performer on the saturday night of our stay who was amazing

the staff are all lovely and so helpful we wouldnt hesitate to stay here again  thank you so much to the lovely staff",274,Room
"we stayed at this beautiful tropical paradise for  days therefore we got to know the history and the staff a bit to write an honest review

architecture
amaranth bay was built only  years ago built for comfort with an american type of architectural design similar to the hilton or the marriott  luxury and spacey high tech but elegant  quality materials the hard wood floor was a feature that i appreciated very much  sunlight fills the room all day long the jacuzzi room could easily serve as a sauna  the balcony with quality wooden chairs and table was comfortable to sit and watch the sunset plus the view of the lagoon and way over the yonder  i loved the touch screen light control panel for all the lights throughout the m suite the sitting room was spacious the king size bed was comfortable the big mirrors with surrounding led soft lightsbig shower with rainforest shower head good pressure and load of hot water  
the towels are big and fluffy as they machined dry and not sundry hence it was a joy to dry myself with these towels  i dont mind sundry but machined dry feels like im at home in the states  amenitiestoiletries were nice and handy  one liter bottles of water daily more when we asked for more  
good housekeeping a team of two male staff the whole time we were there  they were very friendly helpful and very polite  
the ground was immaculately clean and well kept ground keepers constantly on the move keeping the garden beautiful  the pool guy was super friendly helpful and thoughtful no minute detail could escape his attention  

overall the whole complex was very well designed and maintained of course its a tropical country with high humidity so there ought to be some damage to the paint but i noticed that they do their best with the upkeeping  

now the food was another matter entirely there was absolutely no consistency  one day it was fine from the buffet breakfast when there were more guests then the nest day same breakfast buffet but it was not well cooked or well prepared   one time the milk rice was cold and as hard as a rock  unbelievable
the dishes werent authentic enough for us especially the level of spiciness knowing that their dishes were prepared to serve guests that are not used to spicy dishes  hence we made it clear to the kitchen staff that we wanted authentic spicy sri lankan dishes it worked but as soon as there was a difference chef or not our usual server to take note then it all went back to square one again  well needless to say we were disappointed in the dishes they have in the menu  fixed menu when there werent enough guests buffet when the hotel is busy  

though we must give credit where credit is due the management and the staff were very kind to accommodate our requests they even took the dinner order ahead of time to make sure all was in order  however as soon as there was a change in staff or chef rotation all the work went out the window  there was a huge lack of communication consistency and discipline  
we enjoyed massively the accommodation but we were very disappointed in the dishes that they served  we had high expectations before we arrived to amaranth bay as we stayed at  sri lankan hotels before arriving to this lovely hotel and we had amazingly delicious and authentic cuisine until then    we would return but will be eating elsewhere unless they made massive changes to their menu but will we risk it at the time of booking",17,Location
centrally located hotel that was perfect for exploring candy large comfortable room with a super king size bed and large bathroom with fantastic shower there is filtered water available in the hotel lobby which we drank with no issues would recommend,19,Room
"we had a truly memorable experience at the iconic galle face hotel in colombo today the setting is absolutely stunning  a perfect blend of colonial charm and seaside elegance we especially enjoyed the high tea on the terrace with breathtaking views of the indian ocean and the gentle sea breeze adding to the ambience

a special mention goes to krishma who made our high tea experience even more exceptional she was warm attentive and incredibly professional  ensuring that everything ran smoothly and that we felt well taken care of throughout her thoughtful service really stood out and added a personal touch to an already wonderful afternoon

galle face hotel continues to uphold its reputation for timeless elegance and outstanding hospitality highly recommended for anyone visiting colombo",69,Location
good food and good service when we came reception was very welcoming and need to mention ms shishara she was very kind and helpful we came with our friends thank you amagi,155,Food
our experience at anantara kalutara was fantastic mainly because of the outstanding service from viraj and sampath from the moment we arrived their warm smiles and cando attitude made us feel right at home they anticipated our every need with impressive attention to detail and handled every request promptly never missing a beat their genuine warmth and hospitality turned our short stay into a truly memorable experience,377,Service
the staff were all extremely accommodating the facilities are wonderful and i loved how the resort is laid out everyone was so friendly especially kathir renold kiru and tharinda no request was too big and they always found a way to help with a smile when we requested for some bread rolls to be packed as we were leaving on a long trip it was arranged for us at once when we requested for something not on the menu they said it was possible to male it for us anyway it was lovely staying at amaya the rooms were clean and spacious i felt very rated being there snd enjoyed evening walks on the beach i will definitely return,25,Service
wonderful stay sunrise pasikuda hotel located is prime location the room are comfortable and cleanthe large pool view make us happystaff maintained this at a very high level breakfast lunch dinner buffet exceptionally good hemantha hr manager had given wonderful service during our stay and looked after us very well and specially i want to thanks waiter udara  anjana took care of us during all  meals we had a massive dj night with drinks and allwonderfulin service and there happy smile made for lovely experienced well done to the management here with a good priceyou can enjoy premium services and great amenities which truly worth it for great stay experienceim very satisfied with my experience here and will definitely recommend to others  hope to see you all soon,8,Service
"we stayed here for  nights while we explored the area its in a good location for sigiriya rock among other things 

the staff are very friendly our butler samman was particularly great we stayed in a marsh dwelling the room itself was very quirky and a unique experience which was fun the bathroom is outside while still being private perhaps an odd experience but there were alternate loos as well 

we used the bathspa in the room after hiking sigiriya lovely deep bath but be careful of frogs in the pipes we accidentally boiled some  

our pool area was lovely and we got to see some greedy monkeys playing in the trees which was very special 

the food was ok not great not bad the menu was the same everyday so  days was enough time to get bored of the offering the breakfast however was good try and spot the crocodile

the spa was ok good value a  minute massage was  gbp however the spa treatment rooms are open above the water so there were a lot of bugs 

bugs are an inevitable of this hotel due to location etc however they are doing a lot to try and counteract them citronella planting etc",3,Location
"i immediately regretted my decision to book this hotel for my family and me as soon as we entered our room the room quality was poor far below my expectations for a reputed hotel having stayed at hikka tranz several times i had hoped that citrus would at least be a decent alternative unfortunately that was not the case

the room we received was extremely basic and lacked essential amenities except for shampoo and body wash in the bathroom to make matters worse the toilet wall had visible fungus which was both shocking and disgusting for a hotel of this reputation even the swimming pool was disappointing and did not meet our expectations we genuinely felt that the experience was not worth the money we paid

in the morning as we stepped out of our room we were greeted by a plate of leftover food on the floor additionally a broken bed and mattress were left in the hallway even the framed pictures on the walls had mold growing inside them it was disheartening to see that no effort had been made to maintain or improve the hotels quality when we inquired about this the staff mentioned that renovations were planned for april but this still did not justify the current condition of the hotel

the only redeeming factor of our stay was the staff they were wonderful they ensured that we had a pleasant experience wherever possible and even at the restaurant they served us with warm smiles

i sincerely hope that the hotel management takes immediate action to refurbish the hotel and improve its standards otherwise guests will soon realize that the pictures shared online do not reflect the reality on the ground",128,Room
"their hospitality is impeccable housekeeping is superb  chef mandeep took great care of our needs
duty mangaer mr kasab was extremely cordial with his team arunadi indeewara and shenali all very exceptional indeed the amenities like swimming pool and very well equipped gym are really great  restaurants served delicious food ",288,Service
i like good atmosphere in hilton and i had enjoyed nice hospitality given by staff jason joseph  the sports center wish him well lovely steam sauna  jacuzzi great swimming pool  a good gym will surely recommend hilton colombo residence to my friends  family,62,Service
"wow this place is a slice of heaven on earth
the tub with a view is so relaxing and the food is amazing could have stayed for a week if you have a chance to visit put it on your list
the team are so friendly and welcoming you cant find anything like this anywhere else",15,Food
"the location is easily accessible and the rooms are spacious impeccably clean and offer a cozy ambiance perfect for chilly weather this heritage vintagestyle hotel provides a classic experience that truly feels worth the value both in terms of accommodation and dining the staff are exceptionally friendly and accommodatingespecially notable as we traveled with our yearold for whom they thoughtfully prepared special offmenu meals and my father who uses a wheelchair
we enjoyed dining at grand indian grand thai magnolia and barns hall buffet all of which offered highquality food at reasonable prices the only minor downside was that tea was somewhat pricey which is surprising for a teaproducing country
every staff member was outstanding making our stay even more pleasant the garden was beautifully maintained and stunning so much so that we spent most of our threeday stay relaxing within the hotel grounds",121,Food
"this hotel has become one of our favourite hotels so far
our rooms were super clean and the bathrooms were soo beautiful the hotel staff were really friendly everyone had a beautiful smile on their faces everyone spoke in a very graceful manner the food was amazing we would definitely visit this hotel again one day",234,Room
good environment and service the staffs are very nice and anthusiasticwonderful stayyoung leon was so kind and so  helpfulit is your honour to have him herethis hotel has such a great staff and i amhopefully planning on coming again here very soon ,13,Service
"we spent  days here rounding off our tour of sri lanka this beachside hotel featured an extensive pool area  m pool for serious swimmers and smaller pools for children the hotels grounds are quite large allowing guests to find private spots if desired the hotel grounds give access to a sandy beach but sea swimming is not the main theme due to surf and currents
the rooms are spacious and wellequipped with comfortable beds and pillows we chose the bed and breakfast option but noted there are not many dining options nearby without taking a taxi a tuk tuk ride to galle approximately  km away costs about  each way with drivers willing to wait a couple of hours for you in the price
breakfast at the hotel offers a wide variety including pastries fresh fruit smoothies cooked breakfast options and continental bread basket selections many might find a midday meal unnecessary after a substantial breakfast
the main menu is extensive featuring sri lankan curries prawn and fish options as well as chicken lamb and vegetarian dishes there are also burger chicken  and fish and chips options for those who prefer less spicy food most main courses are priced around  usd with starters ranging from  to  usd we found a main course sufficient though however a couple of glasses of wine and beer can double the price of a meal
the staff were consistently excellent throughout the hotel while service in the restaurant occasionally suffered when busy this appeared to be a management or training issue rather than a reflection on the staff who were always responsive and helpful
overall the country is very welcoming with friendly locals who value tourism the accommodation food quality and service were all commendable
",127,Location
my guest told that the rooms are perfectly clean and neat the food was really good taste and the staff was really very kind,98,Service
this is by far the best hotel ive stayed at an absolutely unforgettable experience from start to finish the staff were incredibly warm welcoming and attentive always going the extra mile to ensure every need was metthe food was topquality freshly prepared and delicious with a variety that caters to every palate the garden was beautifully maintained offering a peaceful and scenic space to relaxi highly recommend this hotel to anyone looking for comfort quality and outstanding hospitality,46,Service
"rooms presented well clean and spacious
staff friendly and professional
pool area clean and well maintained 
open air hotel comfortable oversized furniture live music  in bar area 
breakfast buffet style
spa had a off deal so i enjoyed a one hour massage which was lovely",231,Room
outstanding hotel in every respect nothing is too much trouble the staff are wonderful and the food excellent add that to a magnificent setting and an all round desire to make everything go smoothly and you couldnt wish for a better place to stay in the galle area,0,Service
