hotel_location,hotel_name,review_rating,review_title,review_text,trip_type
Kandy,Grand Serendib Hotel,5,"This review is for Buddimal and Manjula they are amazing guys at this hotel and have made us so welcome, thank you much!","An amazing service, made us some amazing cocktails! I would 100% recommend this place, the guys are amazing! I would fully recommend this hotel it’s modern with the best staff!",Couples
Kandy,Grand Serendib Hotel,5,Best hotel for me,They have a good service and staff. The food is very delicious. Very tidy and unique hotel. My friend and I got a good view. I highly recommend this hotel to all and to my friends and family if they are planning to visit here.,Friends
Kandy,Grand Serendib Hotel,4,Pleasant stay in Kandy.,"We stayed for 2 nights at the Grand Serendip and a good comfortable stay. 
It was good location to Kandy we happily walked down to Kandy and caught a Tuk Tuk back. We were on a dinner bed and breakfast rate, where the food was good the brownie we had one night was particularly tasty. 
The staff were attentive and the hotel was generally well kept and very pleasant. The smell in our room was very odd though, like a powerful cleaning smell. I’ve never had a problem with room smells before so found this odd! So much so that whilst in the room we had the patio door open and didn’t have any room service the following day to avoid it heightening any more.
Just a note that taxes and service charges are added on to all food and drink!",Couples
Kandy,Grand Serendib Hotel,5,I advice everyone to come and experience the opportunity,"We stayed 2 nights it was very beautiful experience and stay, amazing view staff and food everything was great. I will definitely visit again soon. Thank you for the kind of service. The hotel was super clean food was amazing staff so helpful and very friendly.",Couples
Kandy,Grand Serendib Hotel,4,Convenient location,"Stayed one night on only; was the 5th property we'd stay in during our tour around Sri Lanka and while lovely was not the best, Reception staff very smiley and polite; restaurant staff seemed quite reserved and didn't interact although we talked to them. Small pool with amazing views but not enough seating around it.  Breakfast was a good selection- buffet style; not huge but more than enough.  Big rooms and loo with a view! All rooms faced the view and had lovely balconies. Can walk down to the lake but step hike back again.",Couples
Kandy,Grand Serendib Hotel,5,Nice place to visit,"This is a great place to visit with friends! We had a wonderful time enjoying delicious food and refreshing beverages. The service was excellent, and the staff were incredibly friendly and welcoming. The view was also beautiful, definitely a spot worth visiting!",Friends
Kandy,Grand Serendib Hotel,5,Great hotel,"Perfect hotel for us, tucked away with incredible views and a short easy walk into the main area of town.
The hotel was beautiful, had fantastic views, good sized rooms and a cool pool. Breakfast was great and due to being there over Vesak we also ate dinner here both nights. The buffet dinner was exceptional as was the Ala carte and most of all the food was well priced.
Highly recommended!",Couples
Kandy,Grand Serendib Hotel,5,Highly recommended!,"We were so impressed with this lovely hotel. Views were incredible, room was fabulous and staff were excellent. We really liked the restaurant too. We liked the fact it was up the hill out the way so we could enjoy the wonderful views of Kandy. But again, the staff were outstanding.",Couples
Kandy,Grand Serendib Hotel,5,Great stay,"We stayed for one night and would definitely recommend. The hotel is beautiful. The rooms are clean and smartly decorated, the staff are friendly and attentive, the breakfast was delicious, and there’s a lovely bar. The views are absolutely stunning!",Family
Kandy,Grand Serendib Hotel,5,Nice experience,The staff were really friendly and kind . They were very professional and attentive to us even though we were not staying in the hotel.They served was good too. I will recommend and the views too. The atmosphere was good and they have live music. Th,Friends
Kandy,Grand Serendib Hotel,5,Loved Grand Serendib,"Had a lovely two night stay here.  Room was very clean and nice and the view amazing!  Staff is very welcoming and accomodating. 
Breakfast buffet had a really good variety of food.  Definitely something for everyone. 
The elevator buttons did our head in a bit, we always got a little laugh with people in the elevator trying to figure out which button to push, but charming in my opinion.",Couples
Kandy,Grand Serendib Hotel,4,"Decent Stay, Could Use Some Improvements","Stayed at Grand Serandib Kandy recently, and while it has its charm, it definitely has a few areas that could use some attention.

The location is great, really peaceful, with lovely views of the hills, which makes for a relaxing atmosphere. The staff is friendly and welcoming, but sometimes a bit slow to respond to requests, which can be a little frustrating when you need something quickly.

The room I stayed in was decent, but could use a little updating. It felt a bit dated, and the bathroom had some minor issues, like low water pressure and inconsistent hot water. However, the bed was comfy, and the air conditioning worked well, which is always a plus.

The food was good, though not mind-blowing. It’s solid enough, but I’d suggest stepping up the variety a bit.",Family
Colombo,Mandarina Colombo,5,İncredible,Leon was vey friendly and helpful for us.We came from Turkey and we liked Kolombo mandarine and this city.Thanks for everthing Leon🙏,Family
Colombo,Mandarina Colombo,5,Welcoming Stay in the Heart of Colombo,"I had a pleasant one-night stay at this hotel located in the heart of Colombo. As a local guest, I truly appreciated the warm hospitality and the absence of any discrimination—an issue I’ve unfortunately encountered at some hotels in the southern region. I can confidently recommend this hotel for both locals and visitors alike.",Family
Colombo,Mandarina Colombo,5,Highly recommend manderina hotel,"Best place to visit and relax. And they have the most teasty food with lot of variety that the geust can come and enjoy.
All the staffs are very good and polite. Makes us feels like home. We would like to enjoy the relaxing time with manderina hotel once again.",Couples
Colombo,Mandarina Colombo,5,Wonderful time in Sri Lanka,"Excellent service and friendly staff. Clean and well maintained. Reasonably priced and secure access to the floors. Huge shout out to 
Operations Manager Mahesh Abeywickrama for ensuring my stay was comfortable and to the chefs and staff at the Rooftop restaurant. 
Special appreciation to Nimnavi @ the restaurant  and Mohamed Majit from Housekeeping. Great breakfast,  lunch and dinner buffet,  excellent room service, and great high tea events. Thank you, Bell boy Gayan and guest relations manager Leon.
Thank you, everyone, at Mandarina, for making my stay a wonderful experience overall for the second time...looking forward to seeing you all soon again. You all are awesome.",Family
Colombo,Mandarina Colombo,4,Heartwarming stay,"One day stay prior moving to Yala. Nice and cosy hotel. refreshing aroma. Small balcony outside room.  Only one comment  need more place to hang towels/ clothes  in bathroom. 
Breakfast fantastic especially the fish curry and onion tempered.",Couples
Colombo,Mandarina Colombo,1,Frustrating and unpleasant experience,"Frustrating and unpleasant experience staying here during my first visit to Colombo. Hotel is located directly across an active large construction site so is both very noisy and unsightly at the moment and foreseeable future. Communication with staff is inconsistent and difficult. Was told by 2 employees I would have no problem amending my booking and receiving a refund. Had my booking company contact the hotel multiple times to do this and the hotel denied my request to change dates. After expressing my dissatisfaction to the front desk staff regarding the contradicting information I was told a manager would reach out to me. This never happened and they never attempted to speak to me at all. The worst hotel customer service I’ve experienced across multiple continents. The hotel also does not allow even a single guest into the hotel, which was not visible anywhere on the booking or on their own website. I would consider the many other options in the area when planning your trip to Colombo. Not here.",Solo
Colombo,Mandarina Colombo,4,Central location,"Mandarina Colombo is a great central location to stay. We stayed here overnight as we had a late flight in and then caught the train to Galle. Has everything you need, clean rooms and friendly staff. Check in is also open 24 hours for those that need it.",Couples
Colombo,Mandarina Colombo,5,Friendly Staff !,"这个酒店来了3次了，特别好，还有一个帅哥leon，非常热情，来斯里兰卡的可以订这个酒店哦，I was really happy with the service and warm hospitality of the front staff specially Leon who spoke with me for a long time, his way of speaking makes me want to come back again to Mandarina next time I visit Sri Lanka! Thank you to Everyone at Mandarina",Solo
Colombo,Mandarina Colombo,5,Excellent propoert,Thank you for the courtesy extended by Mr leom during my early check-in request. It was a wonderful gesture to provide give a room without any additional pay… shows the commitment of the team and the management. I would definitely recommend this property for your future stay. Worth it,Business
Colombo,Mandarina Colombo,5,My stay at Mandarina Colombo,"The staff were extremely polite and kind. I really liked the room service as well. The hotel is situated in a prime location, close to marino mall & cargill’s food city; hence, making it a great spot to stay at. everything is so close by. if you’re staying in colombo it is a must to stay here for at least a day — it’ll be a well spent day.

i would recommend this place to my friends and family!",Family
Colombo,Mandarina Colombo,5,Good place to relax !,"Room is very clean and spacious We really enjoyed all specially the pool, buffet and sunset. Staff is very friendly. If you're on a business trip, you have plenty of space & working environment inside the room at premium category. In house guests have offers to the buffet. Room view is also fine.highly recommend",Couples
Colombo,Mandarina Colombo,5,"Great idea , good price , perfectly happy","Excellent , comfortable , nice spot . Perfect overnight to finish holiday , staff charming and helpful . Great value for money with a solid service and nice pool . Woke up in the morning and my six year old son commented on what a nice place it was , nice sheets , comfy bed",Family
Colombo,Mandarina Colombo,5,A very very pleasant stay !,"Very good value , great hotel and great accommodation with very hospitable staff at the front desk and restaurant. Breakfast was very good and value for money, rooms were in  excellent condition. The room upgrade given to me by the front desk was very much appreciated and thank you to all the staff and manager Leon !",Business
Colombo,Mandarina Colombo,5,Fantastic Stay,"We have been to this hotel multiple times in the last few years and will continue to do so in the future as long as we can get a good rate. 

The rooms are comfortable and clean and the buffet is great as well. 

It is a smaller hotel, but extremely clean and well kept. 

Definitely recommend",Couples
Colombo,Mandarina Colombo,2,"It used to be great, now not worth it. There are so many better options.","Two of us stayed at this hotel two years ago. It was better than in every way - rooms were cleaner and felt fresher, the service was friendlier etc. I had recommended this hotel to family. We returned to the hotel this weekend, together with relatives who also booked a stay. We stayed in a room for three adults on the 4th floor. It was an oddly configured layout but aside from that the AC units didn’t work - they kept shutting off during the night and then spluttering back to life loudly - so loud that we woke up multiple times in the night every time it restarted. Probably about 8 or 9 times during the night! One of the units was also malfunctioning to the point that it was spraying out a fine mist of water (sounds nicer than it was) so one of our bags On the floor beneath the unit it was damp the whole time until we realised. Our relatives on the 6th floor reported the same issues with their room plus a blocked bathroom sink. On check-out, the staff were perfectly pleasant but didn’t even ask how our stay was. The service this time around was generally lacking. Thankfully we only booked to stay two nights. I won’t return or recommend going forward.",Family
Colombo,Mandarina Colombo,4,Pleasant stay,"Friendly, kind and helpful staff. On arrival our bags were taken for us and we were given a fresh juice. The room was clean and spacious. The pool lifeguard was very accommodating to our children and made their time in the pool a lot more fun, providing arm bands and towels. The rooms were cleaned daily. Breakfast was great, there were lots of different options for food including vegetarian and vegan. Our time here was pleasant and we would definitely return.",Family
Colombo,Mandarina Colombo,5,Love from Denmark 🇩🇰,"We actually loved practically everything about this hotel, from the rooms, customer service, and facilities to the elegant pool area and gym facility.  The atmosphere of the hotel is very cozy and calming, Lyon the boy at the lobby was such a jolly chap with a smile on his face all the time. We will 100 % recommend Mandarina for sure!",Family
Colombo,The Kingsbury Hotel,5,Sunday Brunch,Love the experience and enjoyed the variety of options. Friendly staff. We were accommodated by Midoli. Lovely atmosphere.,Friends
Colombo,The Kingsbury Hotel,5,Coming Back!,"The Kingsbury was a really great stay. Staff is very welcoming and attentive, from the doormen to the front desk, waitstaff, and house keeping, staff is very good. We especially enjoyed Avishka’s (hope I spelled his name right!) service. Such a pleasant person with exceptional service. The front desk staff was very accommodating of our strange scheduled stay, as we spent our first and third week in Sri Lanka at this hotel. We are very grateful for the arrangements they made for us. 

My one gripe is that the one time we really wanted to order indoor dining/room service, as I was not feeling well from a long day of being out. It took a long time for the staff to bring up the QR code for me to even order food, and that’s after I had to call a second time 20ish minutes later to see if they’d brought it. By the time I ordered and was told it would be there in 20 minutes, almost an hour and a half passed, in which I was not really hungry by that point. Other than that, I would certainly stay here again and for an extended stay.",Family
Colombo,The Kingsbury Hotel,5,Best hotel in Colombo,"We love this hotel and have stayed here several times.  A fantastic 5 star hotel with beautiful reception area, piano player, cafe/bakery for high tea, coffee, cakes and savouries, many amazing restaurants including seafood, steak, Chinese and Japanese, roof top bar, stunning pool area and bar.  The restaurant for buffet breakfast and dinner is huge with unbelievable wide selection of eastern and western food - outstanding food and choice.  The suite rooms are large and very comfortable with lounge area and great views.  The hotel is walking distance to 1 Galle Face shopping centre, Galle Face Green and Hotel and Dutch Hospital restaurants, bars and shops.  We like the location at the other end of Galle Face Green near the port as it is quiet and away from the busy centre.  Our favourite hotel in Colombo.",Couples
Colombo,The Kingsbury Hotel,5,Night at honey,"Wear wend  to the honey beach club  really nice vibes and really enjoy  we are recommend this place nice dj   And food and beverage specially thank for the mathavan and lakdhinu good customer service 
We are coming back  to  this place again recommend to everyone ❤️❤️❤️",Friends
Colombo,The Kingsbury Hotel,5,Kingsbury Hotel,"Great food - the chef is a treasure. Awesome guest service. Hospitable staff. Avishka and Savani did a great job in guest service at the restaurant. Nice room, comfortable pillows, and great people that serve us food with lots of kindness. Loved our stay there and hope to meet these amazing, talented, and wonderful staff at the hotel again soon.  😍",Family
Colombo,The Kingsbury Hotel,5,Great evening at the poolside bar,"In the evening after a stressful day’s work, I just stepped into the Kingsberry, Colombo. It was happy hour and I stepped into the pool bar and ordered a Pint. It was so relaxing with great music playing in the background. Service is so good and I enjoyed the evening and now heading home with a relaxed mind. Special thanks goes to the friendly staff 
Lakdinu,Shabeeq,Mihiran.",Solo
Colombo,The Kingsbury Hotel,5,Birthday Brunch at Harbour Court,"Great variety of food. Nothing missing. Each variety was unique and tasteful. Service was great. We were celebrating a birthday and go a small slice of cake as well as a birthday song specially for us. Highly recommend a visit for the food and service. 
Serviced by Midoli.",Family
Colombo,The Kingsbury Hotel,5,Best Room Service - The Kingsbury Hotel,We stayed at The Kingsbury Hotel and was very impressed with the room service provided by Dilrukshi. She is very passionate about her job and looking after the needs of the guests. Nothing is too much trouble and always attends to our needs with a smile. Can't recommend her enough and overall the stay at The Kingsbury Hotel was excellent. Will definitely be back in the near future.,Family
Colombo,The Kingsbury Hotel,5,High tea buffet,"Attend the high tea buffet with my family on Saturday. Wanna say the food was very quality. I loved the dishes. Shoutout to the entire team who was attending and providing excellent customer service. 

Wanna specifically highlight Harinath for his amazing hospitality. Job well done🫡",Family
Colombo,The Kingsbury Hotel,5,Comfortable Stay with a Delicious Breakfast Spread,"We had a really lovely stay at The Kingsbury Hotel, and the food was definitely one of the highlights! The breakfast buffet was absolutely delicious—so many options to choose from. The egg bar was great for getting eggs just the way you like them, and both the omelette and scrambled eggs were spot on.

We also dined at a couple of the hotel’s restaurants and enjoyed everything we tried. The Churros Café was especially fun—we had some cake and samosas there, and both were fresh and tasty.

Beyond the food, the room itself was very comfortable. The bed was super cozy and the pillows were great too—just the right amount of support. The bathroom was clean and well-maintained, which made the whole stay feel relaxing and easy.

Would happily return for both the food and the comfort!",Family
Colombo,The Kingsbury Hotel,5,Excellent Service at Harbour Court Restaurant.,This was my first time staying at The Kingsbury Colombo and I am very impressed. Special mention goes to Avishka and Milan at the Harbour Court restaurant who looked after us very well. Overall we are very satisfied with the experience and will definitely return. Highly Recommend this luxurious hotel. Q,Family
Colombo,The Kingsbury Hotel,5,Exceptional service,"Avishka was an absolute standout during our stay. Friendly, attentive, and always with a warm smile, he made sure every meal was a pleasant experience. He remembered our preferences, checked in regularly without being intrusive, and truly made us feel welcome. A true professional with a kind attitude — Avishka is a great asset to the hotel. Highly recommended!",Business
Colombo,The Kingsbury Hotel,5,Loving night,"We came to honey cuase of my girls friends birthday  we got treated by Lakdinu ,Shabeeq and kasun they are really good at their work . I really recommend this place to any couples thanks for everything",Couples
Colombo,The Kingsbury Hotel,5,The Harbour view buffet is a must try.,"Avishka and Viraj provided a great service. The buffet had a huge variety of food with a great carvery section, Specially the desserts",Couples
Colombo,The Kingsbury Hotel,5,Great food and great service,Came to enjoy the dinner buffet with my family. The food was great and the service was superb. Especially Avishka took great care of us and his service was great! Thank you!,Family
Colombo,The Kingsbury Hotel,5,Night at the honey,"Just came to honey beach first of all the service was done by Lakdinu thanks to him . The food , music , pool side view is perfect . 
Sad to say that mr.Indika was the manager at the honey when we came he care of us like a true manager , just found out he got transfer . The new manager mr.Hasha is good as well",Family
Colombo,The Kingsbury Hotel,2,"Feedback on My Recent Stay at Kingsbury Hotel, Sri Lanka","Dear [Hotel Management/Customer Service Team],

I hope this message finds you well. I am writing to formally express my dissatisfaction regarding my recent stay at Kingsbury Hotel, Sri Lanka, from June 11 to June 16, 2025. While I had high expectations based on the hotel's reputation, my experience fell short in several key areas.

Check-In Experience: Upon arrival, the check-in process was relatively smooth; however, I was disappointed to find that the hotel could not accommodate the specific room I had originally opted for. This was my first indication that my stay might not meet my expectations.

Laundry Service Discrepancy: The most significant issue arose during my checkout. I had received a confirmed email outlining the room tariff, which included 4 pieces of laundry per day. Given my 5-night stay, I was entitled to a total of 20 pieces of laundry. Unfortunately, I did not utilize the laundry service during the first three days of my stay. However, on the 4th and 5th days, I submitted 13 pieces and 7 pieces of laundry, respectively.

At checkout, the billing staff initially requested payment for all 20 pieces of laundry. Subsequently, I was informed that I was only eligible for 8 pieces, as the hotel staff claimed that my lack of usage during the first three days limited my entitlement. Despite my attempts to clarify the situation and present the confirmed inclusion in my tariff, the staff remained unyielding and dismissive. As a result, I was compelled to pay for 12 pieces of laundry, amounting to LKR 5139.00, in addition to an extra USD 45 for the inclusion of the laundry service.

Staff Conduct: I must also address the demeanor of the front office staff during this encounter. Their attitude was not only unwelcoming but also hostile, which exacerbated an already frustrating situation. This lack of professionalism is concerning, especially for a hotel of your standing, and it detracts from the overall guest experience.

Conclusion: While Kingsbury Hotel is well-regarded among both local and international guests, my experience has raised concerns about the rigidity of staff policies and the overall guest service. I believe that addressing these issues is crucial not only for the hotel's reputation but also for the positive image of Sri Lanka as a travel destination.

I hope that my feedback will be taken into consideration to improve future guest experiences. Thank you for your attention to this matter.

Sincerely,

Kaustav Das",Business
Colombo,The Kingsbury Hotel,5,Dinner at Harbour Court,Avishka was great! Very attentive to all of us. Food was also very tasty and chefs were very polite and pleasant. Great night!,Family
Colombo,The Kingsbury Hotel,5,Dinner buffet,The buffet had a lovely spread with many different types of cuisines. The food was very delicious and fresh. Very friendly and accommodating staff.,Family
Colombo,The Kingsbury Hotel,5,Great place and view,Good drinks and hood good. Service is great. Tharuka’s service was great too.sky lounge is good place.           Awesome……………..,Couples
Colombo,ME Colombo,5,Good F and B service,"It is my first time to visit this hotel in colombo sri lanka with my japanese friend and she liked the interior and cleaness here at the hotel. 
We went the 1st floor restaurant and had dinner there and there was a person called Mr.yasil he assisted us with the menu and gave some recommendations about  menu with a smiley face.with his help we could have a delicious dinner today. Thank you. You also try this hotel once while you are visiting sri lanka.",Friends
Colombo,ME Colombo,5,Amaizing,"Highly recommend the services provided by Rushani & Sithumini as their friendly, professional and efficient service which supported to continue the meeting smoothly.
We wish their every success in future carriers.
We will come on another day
Cheerz",Friends
Colombo,ME Colombo,5,Execellent,"The service rendered by your hotel was excellent. We appreciate it. We would like to take opportunity to give front line special thanks to Rilwan, Niroshan, Rushani, Sithumini, Udam as they deserve being so cooperative, nice and very much gentle. 
See you another day !",Couples
Colombo,ME Colombo,3,Very good experience,"Great hospitality and service ME Colombo.
Rooms are comfortable. Specially front desk warmly welcomed and did a great service behalf of the hotel.*Rushani gave her best and quick process. 

Location is eye catching. You can watch a cricket match although from the rooftop area😃😃 

Thank you very much!",Couples
Colombo,ME Colombo,4,Great place and a very enjoyable stay. But having second thoughts right now.,"I have been here once before I left Sri Lanka for the UK. So, when I came to Sri Lanka on vacation, I was happy to stay at this hotel during the days I planned to spend in Colombo. The rooms are very nice and clean, and have everything you need. The hotel is located centrally in Colombo and has easy access to all major destinations which is a huge benefit. 

Over a period of 3 weeks, I stayed at the hotel for about 7 nights as I was travelling away from Colombo frequently. The staff was friendly and supportive. Niroshan and Rushani from the front desk were especially very helpful in my encounters with them. I thank them for their kind hospitality. Secondly, the food in the restaurant is also some of the best food I've had. Definitely recommend the room service here. 

One of the only things that I could suggest as an improvement is to have larger water bottles in the room. We ran out of the bottles quite regularly and had to call up housekeeping to refill them multiple times (to which they happily obliged, which is great!) 

All in all, ME Colombo is definitely good value for money. You also get access to a rooftop infinity pool and a bar. I was able to host a couple of my friends at the rooftop bar for a nice cold beer as well. P.S. The view of the Colombo skyline from the rooftop is amazing. You can also get this view with most of their Superior rooms. 

By this point, I was starting to feel like it was home. However, I tried checking in for another time (8th night in 3 weeks if my memory is accurate) but did not have the best experience. Maybe it's my fault that I didn't make a reservation. My plans are always so sudden, so I couldn't manage to book anything before. Regardless, when I arrived at the hotel to try and check in, I was given very conflicting information and potentially treated unfairly. I arrived a little earlier than the check-in time. The receptionist at the time communicated to me that I could get a room a little later once some of the guests check out and the rooms are cleaned. I was happy to wait and even offered my card to finalise the payment. She even said that she will try to get the room arranged for me sooner for an early check-in. At that point, she had to contact the manager to get the authorisation for a special rate that was offered to me since I was planning to come back multiple times during my 6-week stay in Sri Lanka. The manager then came in and checked some things, and suddenly told me that there is no availability. Was it because he didn't want to oblige to the rate I had before when the hotel had low occupancy and it was at high occupancy at the time? Or was it because I was wearing shorts and a t-shirt with flip flops because I drove all the way from Kandy? Or maybe it was a miscommunication and a misunderstanding. Regardless, it didn't feel right to us. Ultimately, we ended up going to a different hotel that we quite enjoyed",Friends
Colombo,ME Colombo,5,A nice getaway,"Loved the hotel very much. Nice and beautiful. Peace and calm in the middle of Colombo. Loved the interior too. 

The rooms were spacious and had all the facilities that you wanted. Everywhere was nice and tidy giving a relaxing vibe. Food was delicious and was presented beautifully.  
Had a nice time in the infinity pool with the nice view of Colombo city. The staff was very friendly and helpful. Simas Ahmed from rooftop bar gave a great service and did his best to make sure that everyone out there had a nice time and got what they needed. So a big shout out to him. 
Definitely was worth coming. Wishing the best to the staff and hotel for the coming years!",Solo
Colombo,ME Colombo,5,Great Experience at ME Colombo!,"Had a wonderful stay at ME Colombo. The staff were friendly and welcoming throughout. I made a special reservation for a celebration, and Rushani handled everything perfectly, she was incredibly helpful and made sure all the arrangements were just right. Highly recommend this place for both comfort and service!",Couples
Colombo,ME Colombo,4,Best place to relax,"Thank you for the delicious food and friendly service. But has to improve the qulity 🙂🙂🙂🙂
Rushani, from the front staff quickly provided me with all the details. 

We really appreciate the great atmosphere and will definitely come again!",Friends
Colombo,ME Colombo,5,Great place,"Had a wonderful stay in this hotel. Got a warm welcome from the staff. The staff was friendly and helpful. They gave us a great service. The hotel was very beautiful.

Loved the infinity pool with the nice view. Enjoyed it so much. The food was so delicious. Big thanks to Simas who was in the rooftop bar. He was very helpful and kind to us and gave us a good service while we were there. So glad and happy for that service we got.
Couldn't be more happier for choosing this hotel for our vacation. Wishing the best!",Family
Colombo,ME Colombo,5,Best stay,A best comfortable stay.  Clean and tidy at its peak.  Love the way the receptionist Rushani handled us. In room dining was awesome. And the pool area got us the best experience. This is our 5th time here. And love to come again. Room service team was superb.,Family
